,id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,month_number,hour,year,Time,Time_group
18,19,1/1/2019,17:39,Tuesday,GREENWOOD STATION,MUPAA,5,9,E,BD,5162,Passenger Assistance Alarm Activated - No Trouble Found,1,17,2019,17,d
19,20,1/1/2019,18:49,Tuesday,BATHURST STATION,MUI,5,9,W,BD,5126,Injured or ill Customer (On Train) - Transported,1,18,2019,18,d
20,21,1/1/2019,19:51,Tuesday,COXWELL STATION,MUO,4,8,E,BD,5131,Miscellaneous Other,1,19,2019,19,d
21,22,1/1/2019,20:56,Tuesday,COXWELL STATION,TUNIP,4,8,E,BD,5009,Operator Not In Position,1,20,2019,20,e
22,23,1/2/2019,5:51,Wednesday,WARDEN STATION,PUSNT,4,0,E,BD,5004,Signal Problem - No Trouble,1,5,2019,29,f
23,24,1/2/2019,6:20,Wednesday,CHRISTIE STATION,PUSTS,4,6,E,BD,5158,Signals - Train Stops,1,6,2019,6,a
24,25,1/2/2019,6:24,Wednesday,GREENWOOD STATION,TUNOA,5,10,E,BD,5280,No Operator Immediately Available ,1,6,2019,6,a
25,26,1/2/2019,6:43,Wednesday,WILSON STATION,MUSC,5,7,S,YU,5441,Miscellaneous Speed Control,1,6,2019,6,a
26,27,1/2/2019,7:03,Wednesday,CASTLE FRANK STATION,SUDP,6,8,E,BD,5218,Disorderly Patron,1,7,2019,7,b
27,28,1/2/2019,7:04,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,1,7,2019,7,b
28,29,1/2/2019,7:20,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,1,7,2019,7,b
29,30,1/2/2019,7:48,Wednesday,KIPLING STATION,SUDP,3,6,E,BD,5304,Disorderly Patron,1,7,2019,7,b
30,31,1/2/2019,9:29,Wednesday,DUNDAS STATION,EUPI,3,5,S,YU,5391,Propulsion System,1,9,2019,9,b
31,32,1/2/2019,11:01,Wednesday,YORK MILLS STATION,MUIR,3,5,N,YU,5886,Injured or ill Customer (On Train) - Medical Aid Refused,1,11,2019,11,c
32,33,1/2/2019,14:36,Wednesday,SCARB CTR STATION,ERDO,3,8,N,SRT,3027,Door Problems - Faulty Equipment,1,14,2019,14,c
33,34,1/2/2019,16:08,Wednesday,ROSEDALE STATION,TUNOA,3,6,S,YU,5896,No Operator Immediately Available ,1,16,2019,16,c
34,35,1/2/2019,16:39,Wednesday,DUNDAS STATION,SUDP,3,6,N,YU,5916,Disorderly Patron,1,16,2019,16,c
35,36,1/2/2019,17:00,Wednesday,BESSARION STATION,MUPAA,5,8,E,SHP,6151,Passenger Assistance Alarm Activated - No Trouble Found,1,17,2019,17,d
36,37,1/2/2019,17:10,Wednesday,SPADINA YUS STATION,PUTIJ,6,9,N,YU,5856,Insulated Joint Related Problem,1,17,2019,17,d
37,38,1/2/2019,17:22,Wednesday,ISLINGTON STATION,SUDP,11,14,E,BD,5091,Disorderly Patron,1,17,2019,17,d
38,39,1/2/2019,17:48,Wednesday,MUSEUM STATION,TUDOE,23,25,N,YU,5941,Doors Open in Error,1,17,2019,17,d
39,40,1/2/2019,18:04,Wednesday,YONGE BD STATION,MUDD,3,6,W,BD,5246,Door Problems - Debris Related,1,18,2019,18,d
40,41,1/2/2019,18:36,Wednesday,YONGE BD STATION,MUPAA,3,6,W,BD,5137,Passenger Assistance Alarm Activated - No Trouble Found,1,18,2019,18,d
41,42,1/2/2019,19:06,Wednesday,YORK MILLS STATION,MUI,9,11,N,YU,6001,Injured or ill Customer (On Train) - Transported,1,19,2019,19,d
42,43,1/2/2019,19:33,Wednesday,DUPONT STATION,MUSC,3,6,S,YU,5806,Miscellaneous Speed Control,1,19,2019,19,d
43,44,1/2/2019,19:39,Wednesday,FINCH STATION,PUTD,21,23,N,YU,5506,Track Level Debris - Controllable,1,19,2019,19,d
44,45,1/2/2019,20:37,Wednesday,QUEEN'S PARK STATION,MUPAA,4,7,N,YU,5701,Passenger Assistance Alarm Activated - No Trouble Found,1,20,2019,20,e
45,46,1/2/2019,20:42,Wednesday,LAWRENCE STATION,PUSTS,3,5,S,YU,5676,Signals - Train Stops,1,20,2019,20,e
46,47,1/2/2019,21:27,Wednesday,SPADINA YUS STATION,PUTIJ,3,6,N,YU,5586,Insulated Joint Related Problem,1,21,2019,21,e
47,48,1/2/2019,22:36,Wednesday,ST CLAIR WEST STATION,SUDP,5,10,S,YU,5481,Disorderly Patron,1,22,2019,22,e
48,49,1/2/2019,22:47,Wednesday,SPADINA YUS STATION,PUTIJ,3,7,N,YU,5451,Insulated Joint Related Problem,1,22,2019,22,e
49,50,1/2/2019,23:16,Wednesday,ELLESMERE STATION,ERDO,6,11,S,SRT,3004,Door Problems - Faulty Equipment,1,23,2019,23,e
50,51,1/3/2019,5:37,Thursday,ST GEORGE YUS STATION,MUCL,3,6,S,YU,5906,Divisional Clerk Related,1,5,2019,29,f
51,52,1/3/2019,6:29,Thursday,ST GEORGE BD STATION,PUTIJ,7,12,N,YU,5486,Insulated Joint Related Problem,1,6,2019,6,a
52,53,1/3/2019,6:42,Thursday,FINCH STATION,MUTO,4,6,S,YU,5886,Misc. Transportation Other - Employee Non-Chargeable,1,6,2019,6,a
53,54,1/3/2019,7:20,Thursday,GREENWOOD STATION,EUPI,3,5,E,BD,5369,Propulsion System,1,7,2019,7,b
54,55,1/3/2019,8:03,Thursday,CHESTER STATION,TUSC,3,5,E,BD,5193,Operator Overspeeding,1,8,2019,8,b
55,56,1/3/2019,10:43,Thursday,UNION STATION,EUTRD,4,7,N,YU,5761,TR Cab Doors,1,10,2019,10,c
56,57,1/3/2019,11:19,Thursday,OLD MILL STATION,MUDD,6,9,E,BD,5087,Door Problems - Debris Related,1,11,2019,11,c
57,58,1/3/2019,16:26,Thursday,BLOOR STATION,MUIR,3,6,S,YU,5826,Injured or ill Customer (On Train) - Medical Aid Refused,1,16,2019,16,c
58,59,1/3/2019,16:26,Thursday,UNION STATION,MUSC,3,6,N,YU,6021,Miscellaneous Speed Control,1,16,2019,16,c
59,60,1/3/2019,16:57,Thursday,FINCH STATION,TUO,6,8,S,YU,5951,Transportation Department - Other,1,16,2019,16,c
60,61,1/4/2019,0:13,Friday,GLENCAIRN STATION,MUPR1,120,123,N,YU,5881,Priority One - Train in Contact With Person,1,0,2019,24,e
61,62,1/4/2019,1:14,Friday,FINCH STATION,MUIR,5,10,S,YU,5926,Injured or ill Customer (On Train) - Medical Aid Refused,1,1,2019,25,e
62,63,1/4/2019,1:40,Friday,SPADINA BD STATION,SUO,5,9,W,BD,5245,Passenger Other,1,1,2019,25,e
63,64,1/4/2019,5:44,Friday,FINCH STATION,SUG,4,8,S,YU,5796,Graffiti / Scratchiti,1,5,2019,29,f
64,65,1/4/2019,5:54,Friday,GREENWOOD STATION,TUNIP,5,11,E,BD,5044,Operator Not In Position,1,5,2019,29,f
65,66,1/4/2019,6:59,Friday,WARDEN STATION,PUSIS,3,6,E,BD,5152,Signals Track Weather Related,1,6,2019,6,a
66,67,1/4/2019,9:30,Friday,PAPE STATION,SUUT,6,9,E,BD,5224,Unauthorized at Track Level,1,9,2019,9,b
67,68,1/4/2019,10:55,Friday,YORKDALE STATION,TUO,4,8,S,YU,5986,Transportation Department - Other,1,10,2019,10,c
68,69,1/4/2019,11:20,Friday,QUEEN STATION,MUIS,9,12,N,YU,6101,Injured or ill Customer (In Station) - Transported,1,11,2019,11,c
69,70,1/4/2019,12:39,Friday,KENNEDY BD STATION,PUSRA,3,6,W,BD,5361,Subway Radio System Fault ,1,12,2019,12,c
70,71,1/4/2019,15:20,Friday,BLOOR STATION,SUDP,5,8,N,YU,6051,Disorderly Patron,1,15,2019,15,c
71,72,1/4/2019,17:46,Friday,BATHURST STATION,MUI,6,9,E,BD,5193,Injured or ill Customer (On Train) - Transported,1,17,2019,17,d
72,73,1/4/2019,17:52,Friday,DUPONT STATION,MUPAA,3,5,S,YU,5956,Passenger Assistance Alarm Activated - No Trouble Found,1,17,2019,17,d
73,74,1/4/2019,18:15,Friday,SHEPPARD STATION,TUO,3,5,S,YU,5736,Transportation Department - Other,1,18,2019,18,d
74,75,1/4/2019,19:05,Friday,NORTH YORK CTR STATION,MUIR,5,7,N,YU,5556,Injured or ill Customer (On Train) - Medical Aid Refused,1,19,2019,19,d
75,76,1/4/2019,19:33,Friday,ROSEDALE STATION,MUI,13,16,S,YU,5651,Injured or ill Customer (On Train) - Transported,1,19,2019,19,d
76,77,1/4/2019,22:16,Friday,QUEEN STATION,MUPAA,4,9,S,YU,5836,Passenger Assistance Alarm Activated - No Trouble Found,1,22,2019,22,e
77,78,1/5/2019,5:58,Saturday,KENNEDY BD STATION,TUO,3,8,W,BD,5290,Transportation Department - Other,1,5,2019,29,f
78,79,1/5/2019,6:00,Saturday,DAVISVILLE STATION,EUBO,5,10,N,YU,5986,Body,1,6,2019,6,a
79,80,1/5/2019,12:10,Saturday,VICTORIA PARK STATION,PUSTC,3,8,E,BD,5044,Signals - Track Circuit Problems,1,12,2019,12,c
80,81,1/5/2019,14:39,Saturday,SHEPPARD WEST STATION,TUNIP,3,6,N,YU,5551,Operator Not In Position,1,14,2019,14,c
81,82,1/5/2019,16:00,Saturday,DUPONT STATION,TUATC,11,14,N,YU,5841,ATC Operator Related,1,16,2019,16,c
82,83,1/5/2019,17:32,Saturday,KENNEDY BD STATION,PUSTS,5,9,E,BD,5049,Signals - Train Stops,1,17,2019,17,d
83,84,1/5/2019,20:52,Saturday,WILSON STATION,SUDP,5,10,S,YU,5756,Disorderly Patron,1,20,2019,20,e
84,85,1/5/2019,22:55,Saturday,COXWELL STATION,SUDP,8,13,E,BD,5149,Disorderly Patron,1,22,2019,22,e
85,86,1/6/2019,7:58,Sunday,DAVISVILLE STATION,MUCL,5,10,S,YU,5596,Divisional Clerk Related,1,7,2019,7,b
86,87,1/6/2019,8:27,Sunday,KENNEDY BD STATION,EUBO,3,8,W,BD,5279,Body,1,8,2019,8,b
87,88,1/6/2019,8:31,Sunday,PAPE STATION,SUO,5,10,E,BD,5239,Passenger Other,1,8,2019,8,b
88,89,1/6/2019,9:50,Sunday,LAWRENCE STATION,MUI,18,23,S,YU,5491,Injured or ill Customer (On Train) - Transported,1,9,2019,9,b
89,90,1/6/2019,14:20,Sunday,KIPLING STATION,MUIR,4,8,E,BD,5193,Injured or ill Customer (On Train) - Medical Aid Refused,1,14,2019,14,c
90,91,1/6/2019,14:58,Sunday,DAVISVILLE STATION,SUDP,3,7,S,YU,5606,Disorderly Patron,1,14,2019,14,c
91,92,1/6/2019,22:55,Sunday,KIPLING STATION,SUO,5,10,E,BD,5193,Passenger Other,1,22,2019,22,e
92,93,1/6/2019,23:34,Sunday,FINCH STATION,MUIR,5,10,N,YU,5781,Injured or ill Customer (On Train) - Medical Aid Refused,1,23,2019,23,e
93,94,1/7/2019,6:02,Monday,CHRISTIE STATION,PUTWZ,3,7,E,BD,5252,Work Zone Problems - Track,1,6,2019,6,a
94,95,1/7/2019,7:56,Monday,CASTLE FRANK STATION,MUIR,3,5,W,BD,5068,Injured or ill Customer (On Train) - Medical Aid Refused,1,7,2019,7,b
95,96,1/7/2019,8:38,Monday,HIGH PARK STATION,MUIR,3,5,E,BD,5219,Injured or ill Customer (On Train) - Medical Aid Refused,1,8,2019,8,b
96,97,1/7/2019,8:44,Monday,KENNEDY BD STATION,TUST,3,5,W,BD,5077,Storm Trains,1,8,2019,8,b
97,98,1/7/2019,9:08,Monday,WELLESLEY STATION,MUIR,5,7,S,YU,6081,Injured or ill Customer (On Train) - Medical Aid Refused,1,9,2019,9,b
98,99,1/7/2019,11:51,Monday,SHEPPARD WEST STATION,TUNIP,3,6,N,YU,5931,Operator Not In Position,1,11,2019,11,c
99,100,1/7/2019,15:11,Monday,SPADINA BD STATION,SUDP,3,6,E,BD,5191,Disorderly Patron,1,15,2019,15,c
100,101,1/7/2019,15:21,Monday,EGLINTON STATION,MUTO,4,7,S,YU,5516,Misc. Transportation Other - Employee Non-Chargeable,1,15,2019,15,c
101,102,1/7/2019,15:22,Monday,GLENCAIRN STATION,MUATC,5,8,S,YU,6131,ATC Project,1,15,2019,15,c
102,103,1/7/2019,16:17,Monday,SHEPPARD WEST STATION,MUIR,5,7,S,YU,6101,Injured or ill Customer (On Train) - Medical Aid Refused,1,16,2019,16,c
103,104,1/7/2019,16:42,Monday,SHEPPARD WEST STATION,MUI,3,5,S,YU,5516,Injured or ill Customer (On Train) - Transported,1,16,2019,16,c
104,105,1/7/2019,17:00,Monday,VAUGHAN MC STATION,TUNIP,3,5,S,YU,5736,Operator Not In Position,1,17,2019,17,d
105,106,1/7/2019,17:05,Monday,COXWELL STATION,SUO,15,17,E,BD,5366,Passenger Other,1,17,2019,17,d
106,107,1/7/2019,17:13,Monday,SPADINA YUS STATION,MUI,8,10,S,YU,5601,Injured or ill Customer (On Train) - Transported,1,17,2019,17,d
107,108,1/7/2019,18:48,Monday,ROYAL YORK STATION,SUEAS,19,22,E,BD,5237,Emergency Alarm Station Activation,1,18,2019,18,d
108,109,1/7/2019,18:59,Monday,VICTORIA PARK STATION,EUNT,9,12,W,BD,5044,Equipment - No Trouble Found,1,18,2019,18,d
109,110,1/7/2019,19:11,Monday,OLD MILL STATION,SUEAS,11,15,W,BD,5129,Emergency Alarm Station Activation,1,19,2019,19,d
110,111,1/7/2019,20:10,Monday,EGLINTON STATION,MUPLB,8,0,S,YU,5821,Fire/Smoke Plan B - Source TTC,1,20,2019,20,e
111,112,1/7/2019,20:34,Monday,YORK MILLS STATION,MUPAA,3,6,S,YU,5926,Passenger Assistance Alarm Activated - No Trouble Found,1,20,2019,20,e
112,113,1/7/2019,20:37,Monday,DUNDAS WEST STATION,MUSC,3,6,E,BD,5334,Miscellaneous Speed Control,1,20,2019,20,e
113,114,1/7/2019,22:09,Monday,ROYAL YORK STATION,SUDP,4,8,W,BD,5023,Disorderly Patron,1,22,2019,22,e
114,115,1/8/2019,6:21,Tuesday,DUPONT STATION,TUATC,3,7,N,YU,5976,ATC Operator Related,1,6,2019,6,a
115,116,1/8/2019,6:29,Tuesday,LAWRENCE WEST STATION,TUATC,3,7,N,YU,5891,ATC Operator Related,1,6,2019,6,a
116,117,1/8/2019,7:19,Tuesday,WILSON STATION,TUATC,3,5,S,YU,5961,ATC Operator Related,1,7,2019,7,b
117,118,1/8/2019,7:30,Tuesday,GREENWOOD STATION,TUNIP,3,5,E,BD,5198,Operator Not In Position,1,7,2019,7,b
118,119,1/8/2019,7:39,Tuesday,WILSON STATION,EUCD,3,5,S,YU,5671,Consequential Delay (2nd Delay Same Fault),1,7,2019,7,b
119,120,1/8/2019,7:51,Tuesday,SHEPPARD WEST STATION,SUSA,11,15,S,YU,5526,Sexual Assault,1,7,2019,7,b
120,121,1/8/2019,9:04,Tuesday,WOODBINE STATION,PUSTS,3,5,W,BD,5058,Signals - Train Stops,1,9,2019,9,b
121,122,1/8/2019,12:30,Tuesday,OSSINGTON STATION,MUTO,3,6,E,BD,5301,Misc. Transportation Other - Employee Non-Chargeable,1,12,2019,12,c
122,123,1/8/2019,14:21,Tuesday,ST CLAIR WEST STATION,TUS,5,10,N,YU,5501,Crew Unable to Maintain Schedule,1,14,2019,14,c
123,124,1/8/2019,15:23,Tuesday,UNION STATION,MUPAA,3,6,N,YU,5936,Passenger Assistance Alarm Activated - No Trouble Found,1,15,2019,15,c
124,125,1/8/2019,16:30,Tuesday,WELLESLEY STATION,MUPAA,7,9,S,YU,5726,Passenger Assistance Alarm Activated - No Trouble Found,1,16,2019,16,c
125,126,1/8/2019,16:47,Tuesday,SHERBOURNE STATION,MUI,12,14,W,BD,5181,Injured or ill Customer (On Train) - Transported,1,16,2019,16,c
126,127,1/8/2019,18:36,Tuesday,GREENWOOD STATION,MUD,4,7,W,BD,5205,Door Problems - Passenger Related,1,18,2019,18,d
127,128,1/8/2019,19:03,Tuesday,WILSON STATION,EUNT,5,7,S,YU,5556,Equipment - No Trouble Found,1,19,2019,19,d
128,129,1/8/2019,21:45,Tuesday,KING STATION,PUTIJ,5,8,S,YU,6071,Insulated Joint Related Problem,1,21,2019,21,e
129,130,1/9/2019,6:52,Wednesday,FINCH STATION,TUCC,7,9,S,YU,5696,Transit Control Related Problems,1,6,2019,6,a
130,131,1/9/2019,7:01,Wednesday,BLOOR STATION,MUTO,5,7,S,YU,5641,Misc. Transportation Other - Employee Non-Chargeable,1,7,2019,7,b
131,132,1/9/2019,7:11,Wednesday,KING STATION,PUTIJ,11,13,S,YU,5641,Insulated Joint Related Problem,1,7,2019,7,b
132,133,1/9/2019,7:44,Wednesday,SHEPPARD STATION,PUSRA,7,9,S,YU,5606,Subway Radio System Fault ,1,7,2019,7,b
133,134,1/9/2019,8:32,Wednesday,ISLINGTON STATION,TUSC,3,5,E,BD,5098,Operator Overspeeding,1,8,2019,8,b
134,135,1/9/2019,8:36,Wednesday,ST GEORGE YUS STATION,PUSRA,3,5,N,YU,5606,Subway Radio System Fault ,1,8,2019,8,b
135,136,1/9/2019,11:11,Wednesday,LAWRENCE WEST STATION,MUI,26,29,S,YU,5671,Injured or ill Customer (On Train) - Transported,1,11,2019,11,c
136,137,1/9/2019,13:12,Wednesday,KING STATION,PUTIJ,6,9,S,YU,5676,Insulated Joint Related Problem,1,13,2019,13,c
137,138,1/9/2019,13:17,Wednesday,KENNEDY BD STATION,EUBO,3,6,W,BD,5192,Body,1,13,2019,13,c
138,139,1/9/2019,16:10,Wednesday,GLENCAIRN STATION,EUDO,5,7,S,YU,5466,Door Problems - Faulty Equipment,1,16,2019,16,c
139,140,1/9/2019,19:29,Wednesday,MUSEUM STATION,MUI,11,14,S,YU,5571,Injured or ill Customer (On Train) - Transported,1,19,2019,19,d
140,141,1/9/2019,19:30,Wednesday,LAWRENCE STATION,SUDP,6,9,N,YU,5551,Disorderly Patron,1,19,2019,19,d
141,142,1/9/2019,19:44,Wednesday,BESSARION STATION,EUDO,6,11,W,SHP,6141,Door Problems - Faulty Equipment,1,19,2019,19,d
142,143,1/9/2019,20:04,Wednesday,BATHURST STATION,EUDO,4,7,W,BD,5025,Door Problems - Faulty Equipment,1,20,2019,20,e
143,144,1/9/2019,22:31,Wednesday,ROSEDALE STATION,MUIR,4,9,N,YU,5571,Injured or ill Customer (On Train) - Medical Aid Refused,1,22,2019,22,e
144,145,1/10/2019,5:53,Thursday,MCCOWAN STATION,ERDO,5,11,S,SRT,3008,Door Problems - Faulty Equipment,1,5,2019,29,f
145,146,1/10/2019,6:50,Thursday,FINCH STATION,MUIR,3,5,S,YU,6621,Injured or ill Customer (On Train) - Medical Aid Refused,1,6,2019,6,a
146,147,1/10/2019,7:00,Thursday,DUPONT STATION,TUCC,4,7,S,YU,5731,Transit Control Related Problems,1,7,2019,7,b
147,148,1/10/2019,8:24,Thursday,KENNEDY BD STATION,EUAC,3,5,W,BD,5233,Air Conditioning,1,8,2019,8,b
148,149,1/10/2019,8:27,Thursday,BLOOR STATION,TUO,4,6,S,YU,5766,Transportation Department - Other,1,8,2019,8,b
149,150,1/10/2019,8:45,Thursday,ST GEORGE BD STATION,EUDO,10,12,E,BD,5173,Door Problems - Faulty Equipment,1,8,2019,8,b
150,151,1/10/2019,8:57,Thursday,LAWRENCE STATION,SUDP,6,8,S,YU,6091,Disorderly Patron,1,8,2019,8,b
151,152,1/10/2019,9:20,Thursday,EGLINTON STATION,PUSCR,3,5,N,YU,5906,Subway Car Radio Fault ,1,9,2019,9,b
152,153,1/10/2019,9:21,Thursday,KENNEDY BD STATION,EUCD,3,5,W,BD,5094,Consequential Delay (2nd Delay Same Fault),1,9,2019,9,b
153,154,1/10/2019,9:29,Thursday,YORK MILLS STATION,MUI,5,7,N,YU,5511,Injured or ill Customer (On Train) - Transported,1,9,2019,9,b
154,155,1/10/2019,9:30,Thursday,EGLINTON STATION,MUI,3,5,S,YU,5836,Injured or ill Customer (On Train) - Transported,1,9,2019,9,b
155,156,1/10/2019,9:32,Thursday,VICTORIA PARK STATION,TUMVS,3,5,W,BD,5095,Operator Violated Signal,1,9,2019,9,b
156,157,1/10/2019,10:06,Thursday,SUMMERHILL STATION,MUI,9,12,N,YU,5441,Injured or ill Customer (On Train) - Transported,1,10,2019,10,c
157,158,1/10/2019,11:28,Thursday,DON MILLS STATION,TUMVS,3,9,E,SHP,6156,Operator Violated Signal,1,11,2019,11,c
158,159,1/10/2019,12:30,Thursday,MCCOWAN STATION,PRSW,8,14,S,SRT,3018,Switch Related,1,12,2019,12,c
159,160,1/10/2019,13:13,Thursday,DUNDAS WEST STATION,PUSTC,4,7,E,BD,5071,Signals - Track Circuit Problems,1,13,2019,13,c
160,161,1/10/2019,13:22,Thursday,GLENCAIRN STATION,SUDP,3,6,N,YU,5701,Disorderly Patron,1,13,2019,13,c
161,162,1/10/2019,13:49,Thursday,WELLESLEY STATION,MUIR,11,14,N,YU,6116,Injured or ill Customer (On Train) - Medical Aid Refused,1,13,2019,13,c
162,163,1/10/2019,14:58,Thursday,BAY STATION,PUTDN,4,6,W,BD,5224,,1,14,2019,14,c
163,164,1/10/2019,15:41,Thursday,DUPONT STATION,MUATC,4,7,N,YU,5466,ATC Project,1,15,2019,15,c
164,165,1/10/2019,16:06,Thursday,UNION STATION,MUIR,4,6,N,YU,5601,Injured or ill Customer (On Train) - Medical Aid Refused,1,16,2019,16,c
165,166,1/10/2019,19:32,Thursday,WARDEN STATION,MUPAA,6,9,W,BD,5062,Passenger Assistance Alarm Activated - No Trouble Found,1,19,2019,19,d
166,167,1/10/2019,20:50,Thursday,FINCH STATION,EUBO,3,6,S,YU,5536,Body,1,20,2019,20,e
167,168,1/10/2019,21:28,Thursday,HIGH PARK STATION,MUSAN,16,20,E,BD,5140,Unsanitary Vehicle,1,21,2019,21,e
168,169,1/10/2019,22:20,Thursday,KIPLING STATION,EUDO,5,10,E,BD,5251,Door Problems - Faulty Equipment,1,22,2019,22,e
169,170,1/11/2019,2:11,Friday,EGLINTON WEST STATION,MUATC,5,10,N,YU,5806,ATC Project,1,2,2019,26,f
170,171,1/11/2019,6:02,Friday,VAUGHAN MC STATION,MUATC,3,7,S,YU,5406,ATC Project,1,6,2019,6,a
171,172,1/11/2019,6:49,Friday,ST CLAIR STATION,MUDD,3,7,S,YU,5741,Door Problems - Debris Related,1,6,2019,6,a
172,173,1/11/2019,7:54,Friday,KIPLING STATION,PUTO,3,5,W,BD,5353,T&S Other,1,7,2019,7,b
173,174,1/11/2019,8:51,Friday,DOWNSVIEW PARK STATION,EUTM,4,8,S,YU,5646,Traction Motors,1,8,2019,8,b
174,175,1/11/2019,9:19,Friday,COXWELL STATION,PUSRA,3,5,W,BD,5103,Subway Radio System Fault ,1,9,2019,9,b
175,176,1/11/2019,9:47,Friday,NORTH YORK CTR STATION,MUSAN,6,8,S,YU,5866,Unsanitary Vehicle,1,9,2019,9,b
176,177,1/11/2019,12:28,Friday,SHEPPARD WEST STATION,EUNT,3,6,S,YU,6076,Equipment - No Trouble Found,1,12,2019,12,c
177,178,1/11/2019,13:38,Friday,NORTH YORK CTR STATION,EUDO,5,8,N,YU,5796,Door Problems - Faulty Equipment,1,13,2019,13,c
178,179,1/11/2019,15:37,Friday,WILSON STATION,TUNIP,6,8,S,YU,5996,Operator Not In Position,1,15,2019,15,c
179,180,1/11/2019,15:52,Friday,VICTORIA PARK STATION,SUAP,5,7,E,BD,5305,Assault / Patron Involved,1,15,2019,15,c
180,181,1/11/2019,16:07,Friday,YONGE BD STATION,MUI,4,6,E,BD,5140,Injured or ill Customer (On Train) - Transported,1,16,2019,16,c
181,182,1/11/2019,16:27,Friday,WILSON STATION,PUSAC,3,5,S,YU,5386,Signals Axle Counter Block Failure,1,16,2019,16,c
182,183,1/11/2019,16:40,Friday,BLOOR STATION,EUDO,8,10,S,YU,5866,Door Problems - Faulty Equipment,1,16,2019,16,c
183,184,1/11/2019,16:44,Friday,DUPONT STATION,MUSC,3,5,S,YU,5386,Miscellaneous Speed Control,1,16,2019,16,c
184,185,1/11/2019,17:20,Friday,ST GEORGE YUS STATION,EUNT,5,7,S,YU,5746,Equipment - No Trouble Found,1,17,2019,17,d
185,186,1/11/2019,19:02,Friday,VICTORIA PARK STATION,MUIR,4,6,W,BD,5366,Injured or ill Customer (On Train) - Medical Aid Refused,1,19,2019,19,d
186,187,1/11/2019,23:31,Friday,UNION STATION,PUSTS,6,11,N,YU,5566,Signals - Train Stops,1,23,2019,23,e
187,188,1/12/2019,1:31,Saturday,DON MILLS STATION,SUROB,9,14,E,SHP,6181,Robbery,1,1,2019,25,e
188,189,1/12/2019,1:56,Saturday,ISLINGTON STATION,MUIR,9,14,E,BD,5022,Injured or ill Customer (On Train) - Medical Aid Refused,1,1,2019,25,e
189,190,1/12/2019,5:58,Saturday,GREENWOOD STATION,EUSC,3,8,E,BD,5098,Speed Control Equipment  ,1,5,2019,29,f
190,191,1/12/2019,10:10,Saturday,SUMMERHILL STATION,SUO,3,5,S,YU,5576,Passenger Other,1,10,2019,10,c
191,192,1/12/2019,12:47,Saturday,LAWRENCE STATION,SUBT,31,34,N,YU,5626,Bomb Threat,1,12,2019,12,c
